kind,abbreviated_name,hydesign_name
variable,H,hh
variable,H_PK,n_full_power_hours_expected_per_day_at_peak_price
variable,H_REF,hh_ref
variable,infl_a,inflation
variable,infl_yr_a,inflation_yr
variable,INTERP_WD,interpolate_wd
variable,IRR,IRR
variable,lambda_y,lambda_t
variable,LAT,latitude
variable,LCOE,LCOE
variable,ldel_ref_s_i,LDEL_ref
variable,ldel_s_i,LDEL
variable,LIFE,life_y
variable,LOAD_CFG,load_sensors / load_sensors_used / components
variable,LOAD_MIN,load_min
variable,LON,longitude
variable,M_ACT,M_actual
variable,m_exp_s,wholer_exponents
variable,m_y,M
variable,mdf_y,marginal_displacement_factor_t
variable,MIN_LOH,min_LoH
variable,N_B,n_batteries
variable,N_B_MAX,max_num_batteries_allowed / num_batteries
variable,N_WT,Nwt
variable,N_Y,N_time
variable,NPV,NPV
variable,NPV_CAPEX,NPV_over_CAPEX
variable,OPEX,OPEX
variable,opex_a,OPEX_vec
variable,OPEX_B,OPEX_b
variable,opex_b_a,OPEX_b_vec
variable,OPEX_EL,OPEX_el
variable,OPEX_PV,OPEX_s
variable,opex_pv_a,OPEX_s_vec
variable,OPEX_REF,_OPEX
variable,OPEX_SH,OPEX_sh
variable,opex_sh_a,OPEX_sh_vec
variable,OPEX_W,OPEX_w
variable,opex_w_a,OPEX_w_vec
variable,p_curt_deg_l,hpp_curt_t_with_deg
variable,p_curt_l,hpp_curt_t
variable,p_hpp_deg_l,hpp_t_with_deg
variable,p_hpp_l,hpp_t
variable,P_PV,solar_MW
variable,p_pv_deg_l,solar_t_ext_deg
variable,p_pv_l,solar_t_ext
variable,p_pv_rel_l,solar_t_rel
variable,p_pv_y,solar_t
variable,P_R,p_rated
variable,P_R_REF,p_rated_ref
variable,p_w_act_y,wind_t_actual
variable,p_w_l,wind_t_ext
variable,p_w_ref_y,wind_t_ref
variable,p_w_rel_l,wind_t_rel
variable,p_w_y,wind_t
variable,pen_deg_l,penalty_t_with_deg
variable,pen_l,penalty_t
variable,PEN_LIFE,penalty_lifetime
variable,phase_capex_a,phasing_CAPEX
variable,phase_yr_a,phasing_yr
variable,price_l,price_t_ext
variable,price_y,price_t
variable,pv_deg_a,pv_deg
variable,pv_deg_yr_a,pv_deg_yr
variable,Q_PK,peak_hr_quantile
variable,R_B_COST,battery_price_reduction_per_year
variable,R_DC_AC,DC_AC_ratio
variable,REF_INFL_YR,ref_yr_inflation
variable,rel_b_l,reliability_ts_battery
variable,rel_pv_l,reliability_ts_pv
variable,rel_tr_l,reliability_ts_trans
variable,rel_w_l,reliability_ts_wind
variable,REV,revenues
variable,RHO_W,wind_MW_per_km2
variable,soc_deg_l,b_E_SOC_t_with_deg
variable,soc_l,b_E_SOC_t
variable,soh_all_l,SoH_all
variable,soh_l,SoH
variable,SP,sp
variable,t_y,time_stamp
variable,TAX,tax_rate
variable,TI,TI
variable,TILT,surface_tilt
variable,tilt_y,tilt
variable,TRACKING,tracking
variable,V_CO2,emissions_value
variable,WACC_B,battery_WACC
variable,WACC_PV,solar_WACC
variable,WACC_W,wind_WACC
variable,wd_g,wd (Design-Friendly lookup grid)
variable,wd_y,wd
variable,WEATHER_FN,input_ts_fn / weather_fn
variable,WEEKS,weeks_per_season_per_year
variable,ws_g,ws (Design-Friendly lookup grid)
variable,ws_y,wst
variable,WT_GNN,design_friendly wind-turbine model (wt)
variable,x_i,x
variable,y_i,y
variable,yaw_act_i_y,yaw_actual
variable,yaw_i_g,yaw
variable,yaw_i_y,yaw_t
variable,YAW_MODE,yaw_mode
